	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
alcosyn	Fetal Alcohol Syndrome	Fetal Alcohol Syndrome	Fetal Alcohol Syndrome	Fetal Alcohol Syndrome	Fetal Alcohol Syndrome	Fetal Alcohol Syndrome	Fetal Alcohol Syndrome	Fetal Alcohol Syndrome	Fetal Alcohol Syndrome	Fetal Alcohol Syndrome	Fetal Alcohol Syndrome	Fetal alcohol syndrome	Fetal alcohol syndrome																
alcuse	Alcohol use	Alcohol use	Alcohol use	Alcohol use	Alcohol use	Alcohol use	Alcohol use	Alcohol use	Alcohol use	Alcohol use	Alcohol use	Alcohol use	Alcohol use																
amnio	Amniocentesis	Amniocentesis	Amniocentesis	Amniocentesis	Amniocentesis	Amniocentesis	Amniocentesis	Amniocentesis	Amniocentesis	Amniocentesis	Amniocentesis	Amniocentesis	Amniocentesis																
anemia	Anemia	Anemia	Anemia	Anemia	Anemia	Anemia	Anemia	Anemia	Anemia	Anemia	Anemia	Anemia (Hct.&lt;30/Hgb.&lt;10)	Anemia (Hct.&lt;30/Hgb.&lt;10)																
anen	Anencephalus	Anencephalus	Anencephalus	Anencephalus	Anencephalus	Anencephalus	Anencephalus	Anencephalus	Anencephalus	Anencephalus	Anencephalus	Anencephalus	Anencephalus																
anesthe	Anesthetic complications	Anesthetic complications	Anesthetic complications	Anesthetic complications	Anesthetic complications	Anesthetic complications	Anesthetic complications	Anesthetic complications	Anesthetic complications	Anesthetic complications	Anesthetic complications	Anesthetic complications	Anesthetic complications																
apgar10																				Ten Minute Apgar Score RFP 579=f_apgar10 R	Ten Minute Apgar Score RFP 579=f_apgar10 R	Ten Minute Apgar Score RFP 579=f_apgar10 R	Ten Minute Apgar Score RFP 579=f_apgar10 R	Ten Minute Apgar Score RFP 579=f_apgar10 R	Ten Minute APGAR Score 00-10 A score of 0-10	Ten Minute APGAR Score 00-10 A score of 0-10	Ten Minute APGAR Score 00-10 A score of 0-10	Ten Minute APGAR Score 00-10 A score of 0-10	Ten Minute APGAR Score 00-10 A score of 0-10
apgar10r																				Ten Minute Apgar Recode RFP 579=f_apgar10 R	Ten Minute Apgar Recode RFP 579=f_apgar10 R	Ten Minute Apgar Recode RFP 579=f_apgar10 R	Ten Minute Apgar Recode RFP 579=f_apgar10 R	Ten Minute Apgar Recode RFP 579=f_apgar10 R	Ten Minute APGAR Recode 1 A score of 0-3	Ten Minute APGAR Recode 1 A score of 0-3	Ten Minute APGAR Recode 1 A score of 0-3	Ten Minute APGAR Recode 1 A score of 0-3	Ten Minute APGAR Recode 1 A score of 0-3
apgar5														Five Minute Apgar Score U;R	Five Minute Apgar Score U;R	Five Minute Apgar Score U;R	Five Minute Apgar Score RFP 574=f_apgar5 U;R	Five Minute Apgar Score RFP 574=f_apgar5 U;R	Five Minute Apgar Score RFP 574=f_apgar5 U;R	Five Minute Apgar Score RFP 574=f_apgar5 U;R	Five Minute Apgar Score RFP 574=f_apgar5 U;R	Five Minute Apgar Score RFP 574=f_apgar5 U;R	Five Minute Apgar Score RFP 574=f_apgar5 U;R	Five Minute Apgar Score RFP 574=f_apgar5 U;R	Five Minute APGAR Score 00-10 A score of 0-10	Five Minute APGAR Score 00-10 A score of 0-10	Five Minute APGAR Score 00-10 A score of 0-10	Five Minute APGAR Score 00-10 A score of 0-10	Five Minute APGAR Score 00-10 A score of 0-10
apgar5r														Five Minute Apgar Recode U;R	Five Minute Apgar Recode U;R	Five Minute Apgar Recode U;R	Five Minute Apgar Recode RFP 574=f_apgar5 U;R	Five Minute Apgar Recode RFP 574=f_apgar5 U;R	Five Minute Apgar Recode RFP 574=f_apgar5 U;R	Five Minute Apgar Recode RFP 574=f_apgar5 U;R	Five Minute Apgar Recode RFP 574=f_apgar5 U;R	Five Minute Apgar Recode RFP 574=f_apgar5 U;R	Five Minute Apgar Recode RFP 574=f_apgar5 U;R	Five Minute Apgar Recode RFP 574=f_apgar5 U;R	Five Minute APGAR Recode 1 A score of 0-3	Five Minute APGAR Recode 1 A score of 0-3	Five Minute APGAR Recode 1 A score of 0-3	Five Minute APGAR Recode 1 A score of 0-3	Five Minute APGAR Recode 1 A score of 0-3
apiflag			Race codes 18-68 reported (beginning with 1992 data)	Race codes 18-68 reported (beginning with 1992 data)	Race codes 18-68 reported (beginning with 1992 data)	Race codes 18-68 reported (beginning with 1992 data)	Race codes 18-68 reported (beginning with 1992 data)	Race codes 18-68 reported (beginning with 1992 data)	Race codes 18-68 reported (beginning with 1992 data)	Race codes 18-68 reported (beginning with 1992 data)	Race codes 18-68 reported (beginning with 1992 data)	Race codes 18-68 reported (beginning with 1992 data)	Race codes 18-68 reported (beginning with 1992 data)																
apncu															Adequacy of Prenatal Care Utilization Index R	Adequacy of Prenatal Care Utilization Index RFP 668=f_mpcb R	Adequacy of Prenatal Care Utilization Index RFP 668=f_mpcb R	Adequacy of Prenatal Care Utilization Index RFP 668=f_mpcb R	Adequacy of Prenatal Care Utilization Index RFP 668=f_mpcb R										
attend														Attendant U;R	Attendant U;R	Attendant U;R	Attendant U;R	Attendant U;R	Attendant U;R	Attendant U;R	Attendant U;R	Attendant U;R	Attendant U;R	Attendant U;R	Attendant at Birth 1 Doctor of Medicine (MD)	Attendant at Birth 1 Doctor of Medicine (MD)	Attendant at Birth 1 Doctor of Medicine (MD)	Attendant at Birth 1 Doctor of Medicine (MD)	Attendant at Birth 1 Doctor of Medicine (MD)
bfacil															Birth Place R	Birth Place R	Birth Place R	Birth Place R	Birth Place R	Birth Place R	Birth Place R	Birth Place R	Birth Place R	Birth Place R	Birth Place 1 Hospital	Birth Place 1 Hospital	Birth Place 1 Hospital	Birth Place 1 Hospital	Birth Place 1 Hospital
bfacil3														Birth Place Recode U;R	Birth Place Recode U;R	Birth Place Recode U;R	Birth Place Recode U;R	Birth Place Recode U;R	Birth Place Recode U;R	Birth Place Recode U;R	Birth Place Recode U;R	Birth Place Recode U;R	Birth Place Recode U;R	Birth Place Recode U;R	Facility Recode 1 In Hospital	Facility Recode 1 In Hospital	Facility Recode 1 In Hospital	Facility Recode 1 In Hospital	Facility Recode 1 In Hospital
bfed																				ant Being Breastfed RFP 581=f_bfed R	ant Being Breastfed RFP 581=f_bfed R	ant Being Breastfed RFP 581=f_bfed R	ant Being Breastfed RFP 581=f_bfed R	ant Being Breastfed RFP 581=f_bfed R	ant Breastfed at Discharge Y Yes	ant Breastfed at Discharge Y Yes	ant Breastfed at Discharge Y Yes	ant Breastfed at Discharge Y Yes	ant Breastfed at Discharge Y Yes
birattnd	Attendant at birth	Attendant at birth	Attendant at birth	Attendant at birth	Attendant at birth	Attendant at birth	Attendant at birth	Attendant at birth	Attendant at birth	Attendant at birth	Attendant at birth	Attendant at Birth	Attendant at Birth																
birmon	Month of Birth	Month of Birth	Month of Birth	Month of Birth	Month of Birth	Month of Birth	Month of Birth	Month of Birth	Month of Birth	Month of Birth	Month of Birth	Month of Birth	Month of Birth																
birwt12	Birthweight Recode 12	Birthweight Recode 12	Birthweight Recode 12	Birthweight Recode 12	Birthweight Recode 12	Birthweight Recode 12	Birthweight Recode 12	Birthweight Recode 12	Birthweight Recode 12	Birthweight Recode 12	Birthweight Recode 12	Birth Weight Recode 12	Birth Weight Recode 12																
birwt4	Birthweight Recode 4	Birthweight Recode 4	Birthweight Recode 4	Birthweight Recode 4	Birthweight Recode 4	Birthweight Recode 4	Birthweight Recode 4	Birthweight Recode 4	Birthweight Recode 4	Birthweight Recode 4	Birthweight Recode 4	Birth Weight Recode 4	Birth Weight Recode 4																
biryr	Year of Birth	Year of Birth	Year of Birth	Year of Birth	Year of Birth	Year of Birth	Year of Birth	Year of Birth	Year of Birth	Year of Birth	Year of Birth	Year of Birth	Year of Birth																
bmi																				BMI (prepregnancy) RFP 576=f_m_ht R	BMI (prepregnancy) RFP 576=f_m_ht R	BMI (prepregnancy) RFP 576=f_m_ht R	BMI (prepregnancy) RFP 576=f_m_ht R	BMI (prepregnancy) RFP 576=f_m_ht R	Body Mass Index 13.0-69.9 Body Mass Index	Body Mass Index 13.0-69.9 Body Mass Index	Body Mass Index 13.0-69.9 Body Mass Index	Body Mass Index 13.0-69.9 Body Mass Index	Body Mass Index 13.0-69.9 Body Mass Index
bmi_r																				Body Mass Index Recode (prepregnancy) RFP 575=f_m_ht R	Body Mass Index Recode (prepregnancy) RFP 575=f_m_ht R	Body Mass Index Recode (prepregnancy) RFP 575=f_m_ht R	Body Mass Index Recode (prepregnancy) RFP 575=f_m_ht R	Body Mass Index Recode (prepregnancy) RFP 575=f_m_ht R	Body Mass Index Recode 1 Underweight &lt;18.5	Body Mass Index Recode 1 Underweight &lt;18.5	Body Mass Index Recode 1 Underweight &lt;18.5	Body Mass Index Recode 1 Underweight &lt;18.5	Body Mass Index Recode 1 Underweight &lt;18.5
breech	Breech/Malpresentation	Breech/Malpresentation	Breech/Malpresentation	Breech/Malpresentation	Breech/Malpresentation	Breech/Malpresentation	Breech/Malpresentation	Breech/Malpresentation	Breech/Malpresentation	Breech/Malpresentation	Breech/Malpresentation	Breech/Malpresentation	Breech/Malpresentation																
bwimp						Imputed Birthweight	Imputed Birthweight	Imputed Birthweight	Imputed Birthweight	Imputed Birthweight	Imputed Birthweight	Imputed Birthweight	Imputed Birthweight																
bwtr12														Birth Weight Recode 12 U;R	Birth Weight Recode 12 U;R	Birth Weight Recode 12 U;R	Birth Weight Recode 12 U;R	Birth Weight Recode 12 U;R	Birth Weight Recode 12 U;R	Birth Weight Recode 12 U;R	Birth Weight Recode 12 U;R	Birth Weight Recode 12 U;R	Birth Weight Recode 12 U;R	Birth Weight Recode 12 U;R	Birth Weight Recode 12 01 0227 - 0499 grams	Birth Weight Recode 12 01 0227 - 0499 grams	Birth Weight Recode 12 01 0227 - 0499 grams	Birth Weight Recode 12 01 0227 - 0499 grams	Birth Weight Recode 12 01 0227 - 0499 grams
bwtr4														Birth Weight Recode 4 U;R	Birth Weight Recode 4 U;R	Birth Weight Recode 4 U;R	Birth Weight Recode 4 U;R	Birth Weight Recode 4 U;R	Birth Weight Recode 4 U;R	Birth Weight Recode 4 U;R	Birth Weight Recode 4 U;R	Birth Weight Recode 4 U;R	Birth Weight Recode 4 U;R	Birth Weight Recode 4 U;R	Birth Weight Recode 4 1 0227 - 1499 grams	Birth Weight Recode 4 1 0227 - 1499 grams	Birth Weight Recode 4 1 0227 - 1499 grams	Birth Weight Recode 4 1 0227 - 1499 grams	Birth Weight Recode 4 1 0227 - 1499 grams
ca_anen															_ca_anen R		_ca_anen R	_ca_anen R	_ca_anen R	_ca_anen R	_ca_anen R	_ca_anen R	_ca_anen R	_ca_anen R					
ca_cchd															_ca_heart R		_ca_heart R	_ca_heart R	_ca_heart R	_ca_heart R	_ca_heart R	_ca_heart R	_ca_heart R	_ca_heart R					
ca_cdh															_ca_hernia R		_ca_hernia R	_ca_hernia R	_ca_hernia R	_ca_hernia R	_ca_hernia R	_ca_hernia R	_ca_hernia R	_ca_hernia R					
ca_cleft															t Lip w/ or w/o Cleft Palate RFP 642=f_ca_cleflp R	t Lip w/ or w/o Cleft Palate R	t Lip w/ or w/o Cleft Palate RFP 642=f_ca_cleflp R	t Lip w/ or w/o Cleft Palate RFP 642=f_ca_cleflp R	t Lip w/ or w/o Cleft Palate RFP 642=f_ca_cleflp R	t Lip w/ or w/o Cleft Palate RFP 642=f_ca_cleflp R	t Lip w/ or w/o Cleft Palate RFP 642=f_ca_cleflp R	t Lip w/ or w/o Cleft Palate RFP 642=f_ca_cleflp R	t Lip w/ or w/o Cleft Palate RFP 642=f_ca_cleflp R	t Lip w/ or w/o Cleft Palate RFP 642=f_ca_cleflp R	t Lip w/ or w/o Cleft Palate Y Yes	t Lip w/ or w/o Cleft Palate Y Yes	t Lip w/ or w/o Cleft Palate Y Yes	t Lip w/ or w/o Cleft Palate Y Yes	t Lip w/ or w/o Cleft Palate Y Yes
ca_clpal															t Palate alone RFP 643=f_ca_cleft R	t Palate alone R	t Palate alone RFP 643=f_ca_cleft R	t Palate alone RFP 643=f_ca_cleft R	t Palate alone RFP 643=f_ca_cleft R	t Palate alone RFP 643=f_ca_cleft R	t Palate alone RFP 643=f_ca_cleft R	t Palate alone RFP 643=f_ca_cleft R	t Palate alone RFP 643=f_ca_cleft R	t Palate alone RFP 643=f_ca_cleft R	t Palate alone Y Yes	t Palate alone Y Yes	t Palate alone Y Yes	t Palate alone Y Yes	t Palate alone Y Yes
ca_disor															_ca_chrom R		_ca_chrom R	_ca_chrom R	_ca_chrom R	_ca_chrom R	_ca_chrom R	_ca_chrom R	_ca_chrom R	_ca_chrom R	irmed	irmed	irmed	irmed	irmed
ca_down															_ca_downs R		_ca_downs R	_ca_downs R				_ca_downs R	_ca_downs R	_ca_downs R					
ca_downs																			_ca_downs R	_ca_downs R	_ca_downs R				irmed	irmed	irmed	irmed	irmed
ca_gast															_ca_gastro R		_ca_gastro R	_ca_gastro R	_ca_gastro R	_ca_gastro R	_ca_gastro R	_ca_gastro R	_ca_gastro R	_ca_gastro R					
ca_hypo															_ca_hypos R		_ca_hypos R	_ca_hypos R	_ca_hypos R	_ca_hypos R	_ca_hypos R	_ca_hypos R	_ca_hypos R	_ca_hypos R					
ca_limb															ect RFP 641=f_ca_limb R	ect R	ect RFP 641=f_ca_limb R	ect RFP 641=f_ca_limb R	ect RFP 641=f_ca_limb R	ect RFP 641=f_ca_limb R	ect RFP 641=f_ca_limb R	ect RFP 641=f_ca_limb R	ect RFP 641=f_ca_limb R	ect RFP 641=f_ca_limb R	ect Y Yes	ect Y Yes	ect Y Yes	ect Y Yes	ect Y Yes
ca_mnsb															ida RFP 636=f_ca_menin R	ida R	ida RFP 636=f_ca_menin R	ida RFP 636=f_ca_menin R	ida RFP 636=f_ca_menin R	ida RFP 636=f_ca_menin R	ida RFP 636=f_ca_menin R	ida RFP 636=f_ca_menin R	ida RFP 636=f_ca_menin R	ida RFP 636=f_ca_menin R	ida Y Yes	ida Y Yes	ida Y Yes	ida Y Yes	ida Y Yes
ca_omph															_ca_ompha R		_ca_ompha R	_ca_ompha R	_ca_ompha R	_ca_ompha R	_ca_ompha R	_ca_ompha R	_ca_ompha R	_ca_ompha R					
cardiac	Cardiac disease	Cardiac disease	Cardiac disease	Cardiac disease	Cardiac disease	Cardiac disease	Cardiac disease	Cardiac disease	Cardiac disease	Cardiac disease	Cardiac disease	Cardiac disease	Cardiac disease																
cdobmimp	Month of Birth of Child Imputation Flag	Month of Birth of Child Imputation Flag	Month of Birth of Child Imputation Flag	Month of Birth of Child Imputation Flag	Month of Birth of Child Imputation Flag	Month of Birth of Child Imputation Flag	Month of Birth of Child Imputation Flag	Month of Birth of Child Imputation Flag	Month of Birth of Child Imputation Flag	Month of Birth of Child Imputation Flag	Month of Birth of Child Imputation Flag	Month of Birth of Child Imputation Flag	Month of Birth of Child Imputation Flag																
cephalo	Cephalopelvic disproportion	Cephalopelvic disproportion	Cephalopelvic disproportion	Cephalopelvic disproportion	Cephalopelvic disproportion	Cephalopelvic disproportion	Cephalopelvic disproportion	Cephalopelvic disproportion	Cephalopelvic disproportion	Cephalopelvic disproportion	Cephalopelvic disproportion	Cephalopelvic disproportion	Cephalopelvic disproportion																
chromo	Other chromosomal anomalies	Other chromosomal anomalies	Other chromosomal anomalies	Other chromosomal anomalies	Other chromosomal anomalies	Other chromosomal anomalies	Other chromosomal anomalies	Other chromosomal anomalies	Other chromosomal anomalies	Other chromosomal anomalies	Other chromosomal anomalies	Other chromosomal anomalies	Other chromosomal anomalies																
chyper	Hypertension - chronic	Hypertension - chronic	Hypertension - chronic	Hypertension - chronic	Hypertension - chronic	Hypertension - chronic	Hypertension - chronic	Hypertension - chronic	Hypertension - chronic	Hypertension - chronic	Hypertension - chronic	Hypertension - chronic	Hypertension - chronic																
cig0_r																									Cigarettes Before Pregnancy Recode 0 Nonsmoker	Cigarettes Before Pregnancy Recode 0 Nonsmoker	Cigarettes Before Pregnancy Recode 0 Nonsmoker	Cigarettes Before Pregnancy Recode 0 Nonsmoker	Cigarettes Before Pregnancy Recode 0 Nonsmoker
cig1_r																									Cigarettes 1st Trimester Recode 0 Nonsmoker	Cigarettes 1st Trimester Recode 0 Nonsmoker	Cigarettes 1st Trimester Recode 0 Nonsmoker	Cigarettes 1st Trimester Recode 0 Nonsmoker	Cigarettes 1st Trimester Recode 0 Nonsmoker
cig2_r																									Cigarettes 2nd Trimester Recode 0 Nonsmoker	Cigarettes 2nd Trimester Recode 0 Nonsmoker	Cigarettes 2nd Trimester Recode 0 Nonsmoker	Cigarettes 2nd Trimester Recode 0 Nonsmoker	Cigarettes 2nd Trimester Recode 0 Nonsmoker
cig3_r																									Cigarettes 3rd Trimester Recode 0 Nonsmoker	Cigarettes 3rd Trimester Recode 0 Nonsmoker	Cigarettes 3rd Trimester Recode 0 Nonsmoker	Cigarettes 3rd Trimester Recode 0 Nonsmoker	Cigarettes 3rd Trimester Recode 0 Nonsmoker
cig_0														Cigarettes Before Pregnancy R						Cigarettes Before Pregnancy 575=f_tobaco R	Cigarettes Before Pregnancy 575=f_tobaco R	Cigarettes Before Pregnancy 575=f_tobaco R	Cigarettes Before Pregnancy 575=f_tobaco R	Cigarettes Before Pregnancy 575=f_tobaco R	Cigarettes Before Pregnancy 00-97 Number of cigarettes daily	Cigarettes Before Pregnancy 00-97 Number of cigarettes daily	Cigarettes Before Pregnancy 00-97 Number of cigarettes daily	Cigarettes Before Pregnancy 00-97 Number of cigarettes daily	Cigarettes Before Pregnancy 00-97 Number of cigarettes daily
cig_1														Cigarettes 1st Trimester R	Cigarettes 1st Trimester R	Cigarettes 1st Trimester RFP 575=f_tobaco R	Cigarettes 1st Trimester RFP 575=f_tobaco R	Cigarettes 1st Trimester RFP 575=f_tobaco R	Cigarettes 1st Trimester RFP 575=f_tobaco R	Cigarettes 1st Trimester RFP 575=f_tobaco R	Cigarettes 1st Trimester RFP 575=f_tobaco R	Cigarettes 1st Trimester RFP 575=f_tobaco R	Cigarettes 1st Trimester RFP 575=f_tobaco R	Cigarettes 1st Trimester RFP 575=f_tobaco R	Cigarettes 1st Trimester 00-97 Number of cigarettes daily	Cigarettes 1st Trimester 00-97 Number of cigarettes daily	Cigarettes 1st Trimester 00-97 Number of cigarettes daily	Cigarettes 1st Trimester 00-97 Number of cigarettes daily	Cigarettes 1st Trimester 00-97 Number of cigarettes daily
cig_2														Cigarettes 2nd Trimester R	Cigarettes 2nd Trimester R	Cigarettes 2nd Trimester RFP 575=f_tobaco R	Cigarettes 2nd Trimester RFP 575=f_tobaco R	Cigarettes 2nd Trimester RFP 575=f_tobaco R	Cigarettes 2nd Trimester RFP 575=f_tobaco R	Cigarettes 2nd Trimester RFP 575=f_tobaco R	Cigarettes 2nd Trimester RFP 575=f_tobaco R	Cigarettes 2nd Trimester RFP 575=f_tobaco R	Cigarettes 2nd Trimester RFP 575=f_tobaco R	Cigarettes 2nd Trimester RFP 575=f_tobaco R	Cigarettes 2nd Trimester 00-97 Number of cigarettes daily	Cigarettes 2nd Trimester 00-97 Number of cigarettes daily	Cigarettes 2nd Trimester 00-97 Number of cigarettes daily	Cigarettes 2nd Trimester 00-97 Number of cigarettes daily	Cigarettes 2nd Trimester 00-97 Number of cigarettes daily
cig_3														Cigarettes 3rd Trimester R	Cigarettes 3rd Trimester R	Cigarettes 3rd Trimester RFP 575=f_tobaco R	Cigarettes 3rd Trimester RFP 575=f_tobaco R	Cigarettes 3rd Trimester RFP 575=f_tobaco R	Cigarettes 3rd Trimester RFP 575=f_tobaco R	Cigarettes 3rd Trimester RFP 575=f_tobaco R	Cigarettes 3rd Trimester RFP 575=f_tobaco R	Cigarettes 3rd Trimester RFP 575=f_tobaco R	Cigarettes 3rd Trimester RFP 575=f_tobaco R	Cigarettes 3rd Trimester RFP 575=f_tobaco R	Cigarettes 3rd Trimester 00-97 Number of cigarettes daily	Cigarettes 3rd Trimester 00-97 Number of cigarettes daily	Cigarettes 3rd Trimester 00-97 Number of cigarettes daily	Cigarettes 3rd Trimester 00-97 Number of cigarettes daily	Cigarettes 3rd Trimester 00-97 Number of cigarettes daily
cig_rec																	_tobaco R	_tobaco R	_tobaco R	_tobaco R	_tobaco R	_tobaco R	_tobaco R	_tobaco R					
cig_rec6														Cigarettes Recode U	Cigarettes Recode U	Cigarettes Recode U	Cigarettes Recode U	Cigarettes Recode U	Cigarettes Recode U										
cigar	Average Number of Cigarettes Per Day	Average Number of Cigarettes Per Day	Average Number of Cigarettes Per Day	Average Number of Cigarettes Per Day	Average Number of Cigarettes Per Day	Average Number of Cigarettes Per Day	Average Number of Cigarettes Per Day	Average Number of Cigarettes Per Day	Average Number of Cigarettes Per Day	Average Number of Cigarettes Per Day	Average Number of Cigarettes Per Day	Average Number of Cigarettes Per Day	Average Number of Cigarettes Per Day																
cigar6	Average Number of Cigarettes Per Day Recode	Average Number of Cigarettes Per Day Recode	Average Number of Cigarettes Per Day Recode	Average Number of Cigarettes Per Day Recode	Average Number of Cigarettes Per Day Recode	Average Number of Cigarettes Per Day Recode	Average Number of Cigarettes Per Day Recode	Average Number of Cigarettes Per Day Recode	Average Number of Cigarettes Per Day Recode	Average Number of Cigarettes Per Day Recode	Average Number of Cigarettes Per Day Recode	Average Number of Cigarettes Per Day Recode	Average Number of Cigarettes Per Day Recode																
cigs														Cigarettes Per Day U	Cigarettes Per Day U	Cigarettes Per Day U	Cigarettes Per Day U	Cigarettes Per Day U	Cigarettes Per Day U										
circul	Other circulatory/respiratory anomalies	Other circulatory/respiratory anomalies	Other circulatory/respiratory anomalies	Other circulatory/respiratory anomalies	Other circulatory/respiratory anomalies	Other circulatory/respiratory anomalies	Other circulatory/respiratory anomalies	Other circulatory/respiratory anomalies	Other circulatory/respiratory anomalies	Other circulatory/respiratory anomalies	Other circulatory/respiratory anomalies	Other circulatory/respiratory anomalies	Other circulatory/respiratory anomalies																
citrspop	residence	residence	residence	residence	residence	residence	residence	residence	residence	residence	residence	City of Residence	City of Residence																
cityres	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence	Residence																
clabor	Complications of labor and/or delivery	Complications of labor and/or delivery	Complications of labor and/or delivery	Complications of labor and/or delivery	Complications of labor and/or delivery	Complications of labor and/or delivery	Complications of labor and/or delivery	Complications of labor and/or delivery	Complications of labor and/or delivery	Complications of labor and/or delivery	Complications of labor and/or delivery	Complications of labor and/or delivery	Complications of labor and/or delivery																
cleftlp	Cleft lip/palate	Cleft lip/palate	Cleft lip/palate	Cleft lip/palate	Cleft lip/palate	Cleft lip/palate	Cleft lip/palate	Cleft lip/palate	Cleft lip/palate	Cleft lip/palate	Cleft lip/palate	Cleft lip/palate	Cleft lip/palate																
clingest	Clinical Estimate of Gestation	Clinical Estimate of Gestation	Clinical Estimate of Gestation	Clinical Estimate of Gestation	Clinical Estimate of Gestation	Clinical Estimate of Gestation	Clinical Estimate of Gestation	Clinical Estimate of Gestation	Clinical Estimate of Gestation	Clinical Estimate of Gestation	Clinical Estimate of Gestation	Clinical Estimate of Gestation	Clinical Estimate of Gestation																
clubfoot	Club foot	Club foot	Club foot	Club foot	Club foot	Club foot	Club foot	Club foot	Club foot	Club foot	Club foot	Club foot	Club foot																
cmsa	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Residence (FIPS)	Consolidated Metropolitan Statistical Area U;R	Consolidated Metropolitan Statistical Area U;R														
